split,method,proposal_kind,proposal_aliases,map_family,map_size,map,maze_seed,topology_seed,goal_variant,map_rows,slip,n_states,teacher_feasible,teacher_boundary,predicted_boundary,selected_states,predicted_extra_count,score_margin,boundary_jaccard,extra_jaccard,extra_precision,extra_recall,exact_boundary_match,count_match,teacher_top_set_size,top_set_hit,top_set_regret,graph_encoding_time_sec,gnn_forward_time_sec,student_selection_time_sec,teacher_selection_time_sec,selection_speedup_vs_teacher
test,constraint_candidate_learned_count,learned_count,"[""learned_count"", ""top1"", ""nearest_start""]",braid_maze,15,braid_maze_15_seed0_goal0,0,0,0,"[""###############"", ""#S............#"", ""#.#.#####..####"", ""#.#.#.........#"", ""#.#.#.#.#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#...#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#.###.#.#.#"", ""#.#.#.......#.#"", ""#.###.#.#.#.#.#"", ""#.....#.#.....#"", ""#.#.###.###.#.#"", ""#...#.......#G#"", ""###############""]",0.0,108,True,"[0, 2, 107]","[0, 1, 107]",[1],1,0.0011394023895263672,0.5,0.0,0.0,0.0,False,True,4,False,1.0,0.0196898749563843,0.013297823956236243,0.032987698912620544,1.8785813399590552,56.947935196545075
test,constraint_candidate_top2,top2,"[""top2""]",braid_maze,15,braid_maze_15_seed0_goal0,0,0,0,"[""###############"", ""#S............#"", ""#.#.#####..####"", ""#.#.#.........#"", ""#.#.#.#.#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#...#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#.###.#.#.#"", ""#.#.#.......#.#"", ""#.###.#.#.#.#.#"", ""#.....#.#.....#"", ""#.#.###.###.#.#"", ""#...#.......#G#"", ""###############""]",0.0,108,True,"[0, 2, 107]","[0, 1, 96, 107]","[1, 96]",2,0.16311746835708618,0.4,0.0,0.0,0.0,False,False,4,False,1.0,0.0196898749563843,0.013297823956236243,0.032987698912620544,1.8785813399590552,56.947935196545075
test,constraint_candidate_top3,top3,"[""top3""]",braid_maze,15,braid_maze_15_seed0_goal0,0,0,0,"[""###############"", ""#S............#"", ""#.#.#####..####"", ""#.#.#.........#"", ""#.#.#.#.#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#...#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#.###.#.#.#"", ""#.#.#.......#.#"", ""#.###.#.#.#.#.#"", ""#.....#.#.....#"", ""#.#.###.###.#.#"", ""#...#.......#G#"", ""###############""]",0.0,108,True,"[0, 2, 107]","[0, 1, 13, 96, 107]","[1, 13, 96]",3,0.05642282962799072,0.3333333333333333,0.0,0.0,0.0,False,False,4,False,1.0,0.0196898749563843,0.013297823956236243,0.032987698912620544,1.8785813399590552,56.947935196545075
test,constraint_candidate_learned_count,learned_count,"[""learned_count"", ""top1""]",braid_maze,15,braid_maze_15_seed0_goal0,0,0,0,"[""###############"", ""#S............#"", ""#.#.#####..####"", ""#.#.#.........#"", ""#.#.#.#.#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#...#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#.###.#.#.#"", ""#.#.#.......#.#"", ""#.###.#.#.#.#.#"", ""#.....#.#.....#"", ""#.#.###.###.#.#"", ""#...#.......#G#"", ""###############""]",0.05,108,False,"[0, 91, 107]","[0, 96, 107]",[96],1,0.059409379959106445,0.5,0.0,0.0,0.0,False,True,1,False,1.0,0.021740417927503586,0.002036874066106975,0.02377729199361056,16.987265704898164,714.4323125384919
test,constraint_candidate_top2,top2,"[""top2""]",braid_maze,15,braid_maze_15_seed0_goal0,0,0,0,"[""###############"", ""#S............#"", ""#.#.#####..####"", ""#.#.#.........#"", ""#.#.#.#.#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#...#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#.###.#.#.#"", ""#.#.#.......#.#"", ""#.###.#.#.#.#.#"", ""#.....#.#.....#"", ""#.#.###.###.#.#"", ""#...#.......#G#"", ""###############""]",0.05,108,False,"[0, 91, 107]","[0, 2, 96, 107]","[2, 96]",2,0.013804912567138672,0.4,0.0,0.0,0.0,False,False,1,False,0.04707658290863037,0.021740417927503586,0.002036874066106975,0.02377729199361056,16.987265704898164,714.4323125384919
test,constraint_candidate_top3,top3,"[""top3""]",braid_maze,15,braid_maze_15_seed0_goal0,0,0,0,"[""###############"", ""#S............#"", ""#.#.#####..####"", ""#.#.#.........#"", ""#.#.#.#.#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#...#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#.###.#.#.#"", ""#.#.#.......#.#"", ""#.###.#.#.#.#.#"", ""#.....#.#.....#"", ""#.#.###.###.#.#"", ""#...#.......#G#"", ""###############""]",0.05,108,False,"[0, 91, 107]","[0, 1, 2, 96, 107]","[1, 2, 96]",3,0.28092241287231445,0.3333333333333333,0.0,0.0,0.0,False,False,1,False,0.04707658290863037,0.021740417927503586,0.002036874066106975,0.02377729199361056,16.987265704898164,714.4323125384919
test,constraint_candidate_nearest_start,nearest_start,"[""nearest_start""]",braid_maze,15,braid_maze_15_seed0_goal0,0,0,0,"[""###############"", ""#S............#"", ""#.#.#####..####"", ""#.#.#.........#"", ""#.#.#.#.#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#...#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#.###.#.#.#"", ""#.#.#.......#.#"", ""#.###.#.#.#.#.#"", ""#.....#.#.....#"", ""#.#.###.###.#.#"", ""#...#.......#G#"", ""###############""]",0.05,108,False,"[0, 91, 107]","[0, 1, 107]",[1],1,0.0,0.5,0.0,0.0,0.0,False,True,1,False,1.0,0.021740417927503586,0.002036874066106975,0.02377729199361056,16.987265704898164,714.4323125384919
test,constraint_candidate_learned_count,learned_count,"[""learned_count"", ""top1""]",braid_maze,15,braid_maze_15_seed0_goal0,0,0,0,"[""###############"", ""#S............#"", ""#.#.#####..####"", ""#.#.#.........#"", ""#.#.#.#.#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#...#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#.###.#.#.#"", ""#.#.#.......#.#"", ""#.###.#.#.#.#.#"", ""#.....#.#.....#"", ""#.#.###.###.#.#"", ""#...#.......#G#"", ""###############""]",0.1,108,False,"[0, 91, 107]","[0, 96, 107]",[96],1,0.052408695220947266,0.5,0.0,0.0,0.0,False,True,1,False,1.0,0.02517421101219952,0.0032162469578906894,0.02839045797009021,19.224794500041753,677.1568996983202
test,constraint_candidate_top2,top2,"[""top2""]",braid_maze,15,braid_maze_15_seed0_goal0,0,0,0,"[""###############"", ""#S............#"", ""#.#.#####..####"", ""#.#.#.........#"", ""#.#.#.#.#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#...#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#.###.#.#.#"", ""#.#.#.......#.#"", ""#.###.#.#.#.#.#"", ""#.....#.#.....#"", ""#.#.###.###.#.#"", ""#...#.......#G#"", ""###############""]",0.1,108,False,"[0, 91, 107]","[0, 1, 96, 107]","[1, 96]",2,0.21128225326538086,0.4,0.0,0.0,0.0,False,False,1,False,1.0,0.02517421101219952,0.0032162469578906894,0.02839045797009021,19.224794500041753,677.1568996983202
test,constraint_candidate_top3,top3,"[""top3""]",braid_maze,15,braid_maze_15_seed0_goal0,0,0,0,"[""###############"", ""#S............#"", ""#.#.#####..####"", ""#.#.#.........#"", ""#.#.#.#.#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#...#.###.#"", ""#.#.#.#.....#.#"", ""#.#.#.###.#.#.#"", ""#.#.#.......#.#"", ""#.###.#.#.#.#.#"", ""#.....#.#.....#"", ""#.#.###.###.#.#"", ""#...#.......#G#"", ""###############""]",0.1,108,False,"[0, 91, 107]","[0, 1, 13, 96, 107]","[1, 13, 96]",3,0.04967808723449707,0.3333333333333333,0.0,0.0,0.0,False,False,1,False,1.0,0.02517421101219952,0.0032162469578906894,0.02839045797009021,19.224794500041753,677.1568996983202
